Year,Geography,Measure type,Annual Mean Temperature,Unit of Measure
1936,UK,Annual Mean Temperature,8.255324918,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1903,Northern Ireland,Annual Mean Temperature,8.180258219,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1915,Northern Ireland,Annual Mean Temperature,7.822860493,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1925,England trend,Annual Mean Temperature,8.943010291,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1953,Scotland trend,Annual Mean Temperature,7.128698252,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1926,Northern Ireland,Annual Mean Temperature,8.73627211,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1914,England trend,Annual Mean Temperature,8.869960192,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1964,Scotland trend,Annual Mean Temperature,6.981582561,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1975,Scotland trend,Annual Mean Temperature,7.003906766,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1937,Northern Ireland,Annual Mean Temperature,8.243139753,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1903,England trend,Annual Mean Temperature,8.823442354,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2020,Northern Ireland trend,Annual Mean Temperature,9.191265536,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1986,Scotland trend,Annual Mean Temperature,7.11316146,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1948,Northern Ireland,Annual Mean Temperature,8.993357678,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1997,Scotland trend,Annual Mean Temperature,7.556341485,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1959,Northern Ireland,Annual Mean Temperature,9.295058795,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1887,Scotland trend,Annual Mean Temperature,6.568390664,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1898,Scotland trend,Annual Mean Temperature,6.822535471,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1904,UK,Annual Mean Temperature,7.992343798,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1915,UK,Annual Mean Temperature,7.810789781,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2017,Wales trend,Annual Mean Temperature,9.585848041,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1926,UK,Annual Mean Temperature,8.585211123,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1937,UK,Annual Mean Temperature,8.334515616,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2006,Wales trend,Annual Mean Temperature,9.463671586,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2020,UK trend,Annual Mean Temperature,9.309094452,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1948,UK,Annual Mean Temperature,8.805530601,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1959,UK,Annual Mean Temperature,9.242711589,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2008,Scotland trend,Annual Mean Temperature,7.780974866,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2019,Scotland trend,Annual Mean Temperature,7.802569942,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1896,Wales trend,Annual Mean Temperature,8.332447139,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1885,Wales trend,Annual Mean Temperature,8.022713418,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1995,Wales trend,Annual Mean Temperature,9.198781739,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1984,Wales trend,Annual Mean Temperature,8.737075895,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1973,Wales trend,Annual Mean Temperature,8.588915968,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1969,England trend,Annual Mean Temperature,8.987404339,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1962,Wales trend,Annual Mean Temperature,8.588435949,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1958,England trend,Annual Mean Temperature,9.040821197,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1920,Scotland trend,Annual Mean Temperature,6.88006295,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1951,Wales trend,Annual Mean Temperature,8.777830684,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1947,England trend,Annual Mean Temperature,9.192293053,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1931,Scotland trend,Annual Mean Temperature,7.067739639,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1940,Wales trend,Annual Mean Temperature,8.766623701,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1904,Northern Ireland,Annual Mean Temperature,8.158867213,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1936,England trend,Annual Mean Temperature,9.104699266,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1942,Scotland trend,Annual Mean Temperature,7.193056206,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1932,Scotland trend,Annual Mean Temperature,7.095795411,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1972,Wales trend,Annual Mean Temperature,8.587183081,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1916,Northern Ireland,Annual Mean Temperature,8.189309781,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1957,England trend,Annual Mean Temperature,9.057968621,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1946,England trend,Annual Mean Temperature,9.188815498,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1943,Scotland trend,Annual Mean Temperature,7.200640855,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1961,Wales trend,Annual Mean Temperature,8.611478344,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1927,Northern Ireland,Annual Mean Temperature,8.335446548,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1935,England trend,Annual Mean Temperature,9.092852698,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1954,Scotland trend,Annual Mean Temperature,7.113558045,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1950,Wales trend,Annual Mean Temperature,8.79507598,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1938,Northern Ireland,Annual Mean Temperature,8.895529507,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1924,England trend,Annual Mean Temperature,8.931668817,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1965,Scotland trend,Annual Mean Temperature,6.97719357,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1949,Northern Ireland,Annual Mean Temperature,9.553042685,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1913,England trend,Annual Mean Temperature,8.868705555,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1976,Scotland trend,Annual Mean Temperature,7.009839436,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1902,England trend,Annual Mean Temperature,8.813084582,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1987,Scotland trend,Annual Mean Temperature,7.142724183,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1998,Scotland trend,Annual Mean Temperature,7.591675014,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1888,Scotland trend,Annual Mean Temperature,6.586058123,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1899,Scotland trend,Annual Mean Temperature,6.837928409,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2016,Wales trend,Annual Mean Temperature,9.579555655,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2009,Scotland trend,Annual Mean Temperature,7.779831328,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2005,Wales trend,Annual Mean Temperature,9.449712897,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2010,UK trend,Annual Mean Temperature,9.226363335,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1905,UK,Annual Mean Temperature,8.188413342,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1916,UK,Annual Mean Temperature,8.105514262,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1927,UK,Annual Mean Temperature,8.065698192,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1938,UK,Annual Mean Temperature,8.924313616,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2010,Northern Ireland trend,Annual Mean Temperature,9.188375486,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1949,UK,Annual Mean Temperature,9.340455644,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1895,Wales trend,Annual Mean Temperature,8.304491759,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1884,Wales trend,Annual Mean Temperature,8.01925344,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1994,Wales trend,Annual Mean Temperature,9.153309245,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1910,Scotland trend,Annual Mean Temperature,6.883216876,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1979,England trend,Annual Mean Temperature,9.083544413,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1921,Scotland trend,Annual Mean Temperature,6.893358732,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1983,Wales trend,Annual Mean Temperature,8.717139621,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1905,Northern Ireland,Annual Mean Temperature,8.489048877,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1968,England trend,Annual Mean Temperature,8.976751706,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1917,Northern Ireland,Annual Mean Temperature,7.834014438,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1989,England trend,Annual Mean Temperature,9.397375714,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1911,Scotland trend,Annual Mean Temperature,6.882259006,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1928,Northern Ireland,Annual Mean Temperature,8.376915874,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1978,England trend,Annual Mean Temperature,9.074058116,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1894,Wales trend,Annual Mean Temperature,8.27902015,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1922,Scotland trend,Annual Mean Temperature,6.901059903,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1939,Northern Ireland,Annual Mean Temperature,8.700972027,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1967,England trend,Annual Mean Temperature,8.971768988,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1933,Scotland trend,Annual Mean Temperature,7.118869918,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1993,Wales trend,Annual Mean Temperature,9.101618708,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1956,England trend,Annual Mean Temperature,9.067435764,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1944,Scotland trend,Annual Mean Temperature,7.202452403,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1955,Scotland trend,Annual Mean Temperature,7.100605146,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1982,Wales trend,Annual Mean Temperature,8.69591641,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1945,England trend,Annual Mean Temperature,9.18544169,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1966,Scotland trend,Annual Mean Temperature,6.977793178,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1971,Wales trend,Annual Mean Temperature,8.590029732,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1934,England trend,Annual Mean Temperature,9.079143981,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1977,Scotland trend,Annual Mean Temperature,7.014571829,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1960,Wales trend,Annual Mean Temperature,8.632520165,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1906,UK,Annual Mean Temperature,8.292621863,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1923,England trend,Annual Mean Temperature,8.918891501,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1912,England trend,Annual Mean Temperature,8.867503025,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1917,UK,Annual Mean Temperature,7.521023315,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1988,Scotland trend,Annual Mean Temperature,7.179468197,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1901,England trend,Annual Mean Temperature,8.799640097,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1999,Scotland trend,Annual Mean Temperature,7.625041681,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1928,UK,Annual Mean Temperature,8.351416803,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1889,Scotland trend,Annual Mean Temperature,6.609041947,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1939,UK,Annual Mean Temperature,8.566243836,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1890,Northern Ireland trend,Annual Mean Temperature,8.348055753,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1890,UK trend,Annual Mean Temperature,7.865277989,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2000,Northern Ireland trend,Annual Mean Temperature,9.124011583,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2011,Northern Ireland trend,Annual Mean Temperature,9.19318628,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2015,Wales trend,Annual Mean Temperature,9.564234134,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2004,Wales trend,Annual Mean Temperature,9.437018772,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2000,UK trend,Annual Mean Temperature,9.087756195,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2011,UK trend,Annual Mean Temperature,9.242116291,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1906,Northern Ireland,Annual Mean Temperature,8.314837562,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1900,Scotland trend,Annual Mean Temperature,6.854010447,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1918,Northern Ireland,Annual Mean Temperature,8.402442877,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1901,Scotland trend,Annual Mean Temperature,6.864492858,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1929,Northern Ireland,Annual Mean Temperature,8.321693753,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1889,England trend,Annual Mean Temperature,8.470142747,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1912,Scotland trend,Annual Mean Temperature,6.87946383,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1999,England trend,Annual Mean Temperature,9.859314518,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
